,label,text
10,ARA,"     Every one try to look for enjoyment in his/her life. Enjoyment in life is not easy to earned, and it requiers several things. In my own opinion, there are two important requirements to enjoy in your life such as, huge experience, and have your own money. Furthermore, those requirements we can found in older people.So, i disagree that "" young people enjoy life more than older people"".  
     First of all, older people have more experience than young people.Also, if you have alot of experience you will be able to choose the good and more benefit things for you to enjoy. Forexample, traveling bring enjoyments when it is empty from the dangerouse things, and to be away from hazardness, you have to have enogh experience.Experience is really protect you from dangerous thinga and from hazardness.
     Then, older people depend on themselves, and they have their own money. So they will be able to know how, where , and when to use and spend their money. Also, they will be able to save money for their needs,and they will be aware from loans .
     In the conclusion, older people are more awake,and they can earn their right and exact enjoyment in their life. Moreover,  I think  it is really important to advice our children about getting the right  and good enjoyment in our fabulouse life.Enjoyment is diffecult to earned .
"
11,JPN,"   Some people think that  it is the best way to travel in a group led by a tour guide, because they can get more imformation from a tour guide and also they can make some friend through the tour.However I do not agree with this idea for these reasons.
   First of all, I like to prepar the travel schedual by my selfe before the trip such as I would like to go this restaurant, visit this museam, buy this shop, and so on. Without a tour guide I can get a lot of imfomation from Internet befor I go to a trip.
  Second  of all,  I can decide how many time I should spend in the place.If I find the really really good place,I  will decide to spend a lot of time to be there. On the other hand,If I go to a trip in a group led by a tour guide,because it has already dicided how many time I spend where I go,so I shoud leave the place within the time. I can not stand!! I would like to enjoy my trip!So I really think  people who want to spend great time in the trip,they should go a trip which they made schedual themselves. 
   Third of all, it is my challenging time to speak local people where I go to the first place. I like to comunicate with foreing country people. 
If I go to  a country which is spoken English such as the United state,Canada, the UK and so on, I can develop my English through the experiment.On the other hands, If I go to a travel with a tour guide
I think I will depend on him because he always appear beside myself!
   For these reasons,I can not agree with the statement,the best way to travel is in a group 
"
12,ARA,"Broad knowledge of many academic subjects than one specific subject is a wonderful thing to have. It is every man's dream but I totally disagree.

The ability to memorize things is a gift from god, and it differs from one person to another. Only a small percentage of people in the world are capable of memorizing information of multiple academic subjects  with ease,the others who are the majority can't do that easially instead they work harder and read for longer hours trying to compensate for the lack of this ability.In the other hand the majority of people are capable  of  focusing or specializing in one specific subject which is again not an easy task to do but still without doupt much easier than broad knowledge of many subjects.

Broad Knowledg of multiple subjects has many disadvantages,apart from being difficult, chances to forget things, make mistakes  or confuse one thing to another are  very high compared to specific subject knowledge. In the other hand,specific knowledge is easy to maintain,low chances of error and perfection is easy to achieve.

I admit that specific knowledge has some disadvantages too,like being boring sometimes and if you do a mistake you will be badly blamed.

In the end, choosing between the two kinds of knowledge depends on the person's capability and interest. Both are really good and helpful to the world we are living in.But i am sure that I am not capable of general knowledge and i'd rather to sepcialize in one specific subject.

"
13,ARA,"	Althogh, some people think that students need only to learn the facts, I totally to agree with understanding the concept and the ideas. There are many reasons for which students need to understand the basic idea.

	One of the reasons is that the students will only use the concept and the ideas from which they have been taught.  Understanding the concept is more important than the facts in that the concept can be involved in any suitable application. For example, a student in a physics class will propably need to understand the formula before he or she wil be able to solve the problems. 


	Another reason is that when the students learn some facts, it is easy to forget them. This is beacuse they need to be memorized. Also, every information that is stored in the brain can be lost if it is not used repeatedly. Therefore, understanding is much easier than memorizing.

	An Aditional reason is that understanding is more effective in developing new thing than learning facts. To illustrate that, supposed a student in a physics college tried to memorize the content of the course without giving any care to understanding it. The student surely will find a lot of troubles in his life if he or she tries to prove a new theory realtive to the information that have been taught. Hence, If the student understood the courses without memorizing the content, the student will be able comperhend with the life challenges. 

	One final reason is that facts does not provide any thinking. It is either right or wrong. On the other hand, understanding the concept can be duplicated to obtain some other new concepts. For example, the conflict between the relativity and the laws of motions cannot be solved unless both of them are understood. Once the concept is understood, the solution for such a conflict can be solved. Which gave rise into a new concept called "" The String Theory"".

	In conclusion, understanding the ideas is much easier than just memorizing the facts that are concret and non-negotiable.
"
14,TUR,"   Are you young? you have to know the importace of it. when you are old, you do not some activities and you have a lot of diseases. you have to think  about their children. you have many responsibilities. I agree that young people enjoy life more than older people, because you do not have any worry and you have much energy.
  first of all, when you are young, you should enjoy, due to the fact that you have more energy. young people have more energic than the oldest. for this reason, they can many activities. for example; they can go skiing, they can climbing the moontain. these activities may make the lives of people enjoyable. 
    secondly, young people enjoy life more than older people do, because they have no worries. old people worry about their futures. this may not give a permission them to live happly. what is more; the oldest have fears of dying, because their ages are very high. for these reasons; they enjony life less than yhe youngest.
    to sum up, I agree this issue, because young people do not worry about future and dying and they are energitic. If you are either young or old, you should make an effort to live happly. 
"
15,ARA,"In the past , people was not having any idea about advertisnment , but today advertisment is mostly  provided through media , for example , TV, internet , newspaper , magazines and radio . Advertisment is defined as giving an unknowncemt to the people by motiviting them to buy ,or to use certine product by different attractive means . This essay is going to explain why most advirtisment making the producte seem muh better than they really are .

Some people believe that ,advertsmetn is bad thing since it is giving wrong information about the product ,.Moreover ,it is also make people to buy unnecessary things  . Also , it is making people to waste their money for the thing which is no more good .  




Most of the people thinks that advertisment is useful for saling the product and the maximum amount of product which can give interest to the seller . 
Firstly , if advertisment was not put for certain product , people will never hear about it .Secondly , it orient people about some thing which  they dont know or didn hear about it . Thirdly advertisment , is helping people to get what do they want of certine product . Forthly , it is giving nice veiw for product and make it easy tobe saled .In addisition , 


In summury , advertisments is useful methods for selling goods and helping people getting what do they want .In the future , people should detect new methods of introducing or markting the produt  and sale it not only in one country but all over the world . It is recommanded that , advirtsing through different kind of media is really beneficial for trading ..I believe that , unless produt is good , the markting service will not make it to appear better than they really are.
"
16,ITA,"If I had to refer only to my personal experience I would have to completely agree with the statement. Fortunately not every youngster is like me.

I must confess that I have never taken part to community service, which in my home country, Italy, young men could choose as an alternative to military service.  A bill has been passed that frees my generation from military service and thus also from ""compulsory"" community service. I might have justfied my behavior by saying that nowadays the sense of community that used to animate the life of suburbia and countryside villages has been lost; that work conditions and habits have changed and all in all people are less and less tied to their own communities. They think and act global.

But the fact that I am selfish does not imply that so are my fellow citizens of the same age.  I have many friends devoted to at least one community service activity. My best female friend has been active in the emergency transport service, that brings patients to emergency rooms and hospitals for the past five years and she is still on duty once a week every thursday night. It is worth to mention that in Italy this service  is run on a voluntary basis.

Finally one can extend what I have mentioned about the fading of local communities and claim that the young should take care of the global communtiy and especially its poorest members. More and more young women and men are now spending their holidays in non governmental organizations active in the poorest part of the world. As far as I am concerned I have never joined these programs, but my sister and some frinds of mine did last year. They were helping in a small hospital in satellite town of Kolkata, India.

So, hopefully, the picture is not so bleak, at least as long as my friends persist in their altruism.  
"
17,ARA,"  According to what all government say, that all cars must only be transported from an country to another with in a five years of date of due from the company. Every country must make a roule about controlling the number of car that is coming year after year.
  Every new car that is made, it brings with it more pollution and more traffic to the world. The government must have a limit or a regulation to prevent the additions of cars year after a year.
I think that in five or ten years they will be more fewer cars then there is now, but i don't think that after twenty years they will be more. because technology will prevent it and they will stop using cars. They will use new technolgy rather then cars that bring us problems like pollution, car accidents, more traffics, death penalties etc...
In the newer world they will find a solution for it, because if not it will be a catastrophe and a disaster. Because logically world is not gonna get bigger in twenty years but cars are gonna get much and much more fewer then it can contain. I think technology will take place in twenty years from now, it might use plane besides cars or huge escalators through buildings, maybe even escalators underground. No one knows what is in the future or what is waiting for us then. Life is much harder then we think we can't just imagine it with in a few words it much more complicated.
  I hope for the best in our future life for all whom gonna participate in it., and i hope that tecnology will prevent the catastrophy probelm of cars and stop it from growing into the world and multiplying by billions.of countity. Everyone looks for his best and goods. Life is life.
"
18,ITA,"This statement seems like a biblical rivelation, but can be true if we considere only our Europe .
If I see the past, really, I see that in the last thirty years we have had at first a rapid, after more costant, growth of the number of cars in general. Really, the growth of cars can be interpretated by the development of our europen society. Of course, this growth has token with its other problems,  like the pollution , or the growth of the price of oil . So, in europen and american cities, I think that there will be a slow decline of the use of car, caused by new laws against car- use and its pollution, or by the encrease of price of the fuel, or by the oblish ( I hope !!!) of the use of pubblic trasport in the centre of our cities. For this reasons, in Europe, I think that the statement will be true.
Altough, if we see the world, it is sure that the total number of cars will grow: some nations, like China, or India, or Brazil, are becoming modern nation, and people of these areas, will want to have a car like us. In fact, a good part of this people , that is migrating to the city,  will have a better input of money and will be able to take a car. So, this fact will cause new pollution for these countries, and until the governments will not make new laws, it will have a growth.
So, in conclusion,with a global vision. I am disagreed with the statement, and I think that the situation can only become  more negative. We must catch a solution not for cars, but for pollution, and with the reserch to create a car with hydrogen like fuel, we will live better with more cars.
"
19,TUR,"The purpose of advertisements is to convince people to buy a specific product. The business world especially marketers thinks that it does not really necessary to tell the truth, if you could sell something. 
First of all, advertisements are one of the most important tools of marketing. Their first and for most purpose is to attract people and persuade them to buy. The goal of advertisements is not to tell the truth. They can tell to truth but it does not mean that  it is not just a way of marketing. It is still  tring to convince people to prefer particular thing to others. 
People usually buy things which they saw  on advertisements, and usually they get disappointed with the result. Even though people think that they are buying the same thing, the reality is that the product is always exegirated in advertisements and it will be worse than people thought. The basic example for this will be hamburgers. When I go to a fast food restaurant, I saw lots of pictures of hamburgers, and they look really big. When I buy one, I always find it to small to saticify, because the pictures convince me that they will be really big. 
However, one of the easiest way of getting information about a product is advertisements. Before buying something people want to learn more about it. They do not want to buy which they really do not need.  People see advertisements in everywhere so they do not have to spend too much effort to obtain an information. 
Altough advertisements are the easiest way to learn something about a product to make a desicion,  people should reconsider every detail that they heared from or saw on an advertisement if it can be true or not. They should be aware of the reality that the ads are for convincing people, not for telling the truth. 

"
